"ITEM_ID","IMPRESSION","EVENT_TYPE","USER_ID","TIMESTAMP"
"emotions/happy/img_20230423-101932_1h.jpeg","emotions/happy/img_20230423-130105_23h.jpeg|emotions/happy/img_20230423-101932_1h.jpeg|emotions/happy/img_20230423-142311_3h.jpeg","click","31d15cc6-b84b-4033-b4d7-d7a51a250eeb",1682246352997
"emotions/happy/img_20230423-150628_0h.jpeg","emotions/happy/img_20230423-142311_17h.jpeg|emotions/happy/img_20230423-150628_0h.jpeg|emotions/happy/img_20230423-130105_19h.jpeg","click","31d15cc6-b84b-4033-b4d7-d7a51a250eeb",1682246359911
"emotions/happy/img_20230423-130105_19h.jpeg","emotions/happy/img_20230423-142311_17h.jpeg|emotions/happy/img_20230423-150628_0h.jpeg|emotions/happy/img_20230423-130105_19h.jpeg","click","31d15cc6-b84b-4033-b4d7-d7a51a250eeb",1682246363335
"emotions/happy/img_20230423-130105_46h.jpeg","emotions/happy/img_20230423-144051_9h.jpeg|emotions/happy/img_20230423-144051_11h.jpeg|emotions/happy/img_20230423-130105_46h.jpeg","click","31d15cc6-b84b-4033-b4d7-d7a51a250eeb",1682246369116
"emotions/happy/img_20230423-144051_11h.jpeg","emotions/happy/img_20230423-144051_9h.jpeg|emotions/happy/img_20230423-144051_11h.jpeg|emotions/happy/img_20230423-130105_46h.jpeg","click","31d15cc6-b84b-4033-b4d7-d7a51a250eeb",1682246371593
"emotions/happy/img_20230423-144051_8h.jpeg","emotions/happy/img_20230423-144051_8h.jpeg|emotions/happy/img_20230423-144051_3h.jpeg|emotions/happy/img_20230423-144051_19h.jpeg","click","31d15cc6-b84b-4033-b4d7-d7a51a250eeb",1682246376484
"emotions/happy/img_20230423-144051_3h.jpeg","emotions/happy/img_20230423-144051_8h.jpeg|emotions/happy/img_20230423-144051_3h.jpeg|emotions/happy/img_20230423-144051_19h.jpeg","click","31d15cc6-b84b-4033-b4d7-d7a51a250eeb",1682246378297
"emotions/happy/img_20230423-130105_7h.jpeg","emotions/happy/img_20230423-142311_8h.jpeg|emotions/happy/img_20230423-130105_7h.jpeg|emotions/happy/img_20230423-130105_33h.jpeg","click","31d15cc6-b84b-4033-b4d7-d7a51a250eeb",1682246384082
"emotions/happy/img_20230423-130105_33h.jpeg","emotions/happy/img_20230423-142311_8h.jpeg|emotions/happy/img_20230423-130105_7h.jpeg|emotions/happy/img_20230423-130105_33h.jpeg","click","31d15cc6-b84b-4033-b4d7-d7a51a250eeb",1682246385685
"emotions/happy/img_20230423-102041_2h.jpeg","emotions/happy/img_20230423-102041_2h.jpeg|emotions/happy/img_20230423-142311_11h.jpeg|emotions/happy/img_20230423-142311_0h.jpeg","click","31d15cc6-b84b-4033-b4d7-d7a51a250eeb",1682246396368
